dep_hour,carrier,carrier_name,carrier_type,root_delays,avg_downstream_legs,avg_downstream_minutes,avg_amplification,total_cascade_minutes,total_cascade_cost_usd
17,AA,American Airlines,Network,37390,0.258,14.97,1.789,2581756,254070608
17,AS,Alaska Airlines,Network,8321,0.25,11.03,1.317,467067,45964063
17,B6,JetBlue Airways,Low-cost,12687,0.494,31.76,1.759,1222122,120269026
17,DL,Delta Air Lines,Network,26144,0.301,16.59,1.334,2381712,234384278
17,F9,Frontier Airlines,Ultra low-cost,6881,0.533,35.0,2.128,673211,66250695
17,HA,Hawaiian Airlines,Network,1040,0.482,21.05,2.411,65554,6451169
17,MQ,Envoy Air,Regional,8939,0.385,18.11,2.012,546685,53799271
17,NK,Spirit Airlines,Ultra low-cost,13238,0.23,13.85,1.365,1064648,104772010
17,OH,PSA Airlines,Regional,7534,0.491,29.0,2.721,627678,61769792
17,OO,SkyWest Airlines,Regional,41097,0.093,6.65,1.161,3540039,348375238
17,QX,Horizon Air,Regional,1067,0.383,17.75,2.236,62088,6110080
17,UA,United Airlines,Network,33893,0.199,10.8,1.303,2154227,211997479
17,WN,Southwest Airlines,Low-cost,34731,0.582,28.98,2.826,2447842,240892131
17,YV,Mesa Airlines,Regional,2282,0.209,14.89,1.432,210080,20673973
17,YX,Republic Airways,Regional,15477,0.357,19.26,1.52,1205181,118601862
18,9E,Endeavor Air,Regional,4847,0.206,12.97,1.319,405286,39884195
18,AA,American Airlines,Network,39212,0.188,11.52,1.701,2625877,258412556
18,AS,Alaska Airlines,Network,11021,0.171,7.36,1.223,573975,56484880
18,B6,JetBlue Airways,Low-cost,13587,0.335,20.12,1.482,1144312,112611744
18,DL,Delta Air Lines,Network,31148,0.164,8.8,1.22,2568002,252717077
18,F9,Frontier Airlines,Ultra low-cost,6952,0.432,28.63,2.058,635591,62548510
18,HA,Hawaiian Airlines,Network,830,0.507,22.29,2.756,55494,5461165
18,MQ,Envoy Air,Regional,9136,0.295,13.72,1.658,517214,50899030
18,NK,Spirit Airlines,Ultra low-cost,14678,0.209,11.8,1.278,1154538,113618085
18,OH,PSA Airlines,Regional,9232,0.331,18.39,2.138,640910,63071953
18,OO,SkyWest Airlines,Regional,40413,0.063,4.43,1.077,3550333,349388271
18,QX,Horizon Air,Regional,1166,0.264,12.21,1.71,63756,6274228
18,UA,United Airlines,Network,41535,0.093,5.25,1.14,2305192,226853945
18,WN,Southwest Airlines,Low-cost,40249,0.369,18.07,2.218,2345436,230814357
18,YV,Mesa Airlines,Regional,2547,0.112,9.28,1.317,240676,23684925
18,YX,Republic Airways,Regional,13169,0.222,11.75,1.355,923851,90916177
19,9E,Endeavor Air,Regional,3367,0.144,10.63,1.202,314803,30979763
19,AA,American Airlines,Network,37164,0.096,6.8,1.299,2283297,224699258
19,AS,Alaska Airlines,Network,7705,0.116,4.57,1.145,369860,36397923
19,B6,JetBlue Airways,Low-cost,11271,0.267,15.89,1.473,860306,84662713
19,DL,Delta Air Lines,Network,23279,0.118,6.7,1.162,2011735,197974841
19,F9,Frontier Airlines,Ultra low-cost,6221,0.378,25.02,2.263,540293,53170234
19,HA,Hawaiian Airlines,Network,566,0.383,18.28,2.037,29795,2932126
19,MQ,Envoy Air,Regional,7410,0.076,3.68,1.212,357817,35212771
19,NK,Spirit Airlines,Ultra low-cost,12124,0.131,7.5,1.165,929504,91472489
19,OH,PSA Airlines,Regional,5065,0.134,7.6,1.425,329060,32382795
19,OO,SkyWest Airlines,Regional,27249,0.039,2.98,1.041,2350416,231304439
19,QX,Horizon Air,Regional,1161,0.158,5.91,1.182,53528,5267690
19,UA,United Airlines,Network,24291,0.103,6.2,1.173,1390826,136871187
19,WN,Southwest Airlines,Low-cost,34877,0.235,11.11,1.79,1762923,173489252
19,YV,Mesa Airlines,Regional,1685,0.034,3.96,1.07,159416,15688129
19,YX,Republic Airways,Regional,8811,0.135,6.83,1.212,596010,58653344
20,9E,Endeavor Air,Regional,2809,0.049,6.15,1.028,219955,21645772
20,AA,American Airlines,Network,30692,0.076,6.7,1.17,1928342,189768136
20,AS,Alaska Airlines,Network,6589,0.062,2.57,1.094,293895,28922207
20,B6,JetBlue Airways,Low-cost,14713,0.173,10.53,1.272,1019089,100288548
20,DL,Delta Air Lines,Network,27923,0.065,4.77,1.048,2118770,208508156
20,F9,Frontier Airlines,Ultra low-cost,6151,0.245,17.78,1.609,529799,52137520
20,HA,Hawaiian Airlines,Network,520,0.202,9.41,1.496,22717,2235580
20,MQ,Envoy Air,Regional,6772,0.044,1.98,1.11,335354,33002187
20,NK,Spirit Airlines,Ultra low-cost,15392,0.069,4.11,1.139,1092879,107550222
20,OH,PSA Airlines,Regional,8617,0.044,2.46,1.188,482237,47456943
20,OO,SkyWest Airlines,Regional,24341,0.023,2.47,1.026,2137009,210303056
20,QX,Horizon Air,Regional,781,0.072,3.14,1.084,35410,3484698
20,UA,United Airlines,Network,24988,0.095,5.54,1.148,1339851,131854737
20,WN,Southwest Airlines,Low-cost,32373,0.099,4.34,1.291,1388333,136625851
20,YV,Mesa Airlines,Regional,1851,0.025,3.04,1.044,181048,17816934
20,YX,Republic Airways,Regional,7955,0.029,1.82,1.039,462728,45537062
21,9E,Endeavor Air,Regional,3411,0.075,12.3,1.027,306435,30156268
21,AA,American Airlines,Network,23942,0.071,7.69,1.189,1595943,157056751
21,AS,Alaska Airlines,Network,5963,0.146,7.0,1.246,282183,27769629
21,B6,JetBlue Airways,Low-cost,9336,0.079,4.86,1.186,577728,56854212
21,DL,Delta Air Lines,Network,22347,0.076,6.69,1.054,1671869,164528628
21,F9,Frontier Airlines,Ultra low-cost,5985,0.152,11.29,1.262,500905,49294061
21,HA,Hawaiian Airlines,Network,403,0.203,14.36,1.23,29348,2888137
21,MQ,Envoy Air,Regional,4640,0.006,0.5,1.01,231302,22762430
21,NK,Spirit Airlines,Ultra low-cost,11788,0.053,3.11,1.082,826398,81325827
21,OH,PSA Airlines,Regional,2579,0.009,2.14,1.086,172660,16991471
21,OO,SkyWest Airlines,Regional,17876,0.014,2.84,1.035,1797859,176927304
21,QX,Horizon Air,Regional,566,0.074,2.57,1.056,23545,2317063
21,UA,United Airlines,Network,9904,0.071,4.23,1.204,520079,51180974
21,WN,Southwest Airlines,Low-cost,22102,0.026,1.13,1.082,850505,83698197
21,YV,Mesa Airlines,Regional,646,0.036,5.14,1.023,63193,6218823
21,YX,Republic Airways,Regional,4472,0.011,1.31,1.008,261666,25750551
22,9E,Endeavor Air,Regional,1314,0.125,22.73,1.303,144574,14227527
22,AA,American Airlines,Network,16411,0.111,11.94,1.441,1382964,136097487
